Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
HS01339,FIC C672t 2018,By the river Piedra isat down & wept,"Coelho, Paulo",5307,,9788172235307,New York,HarperCollins Publisher,FIC,210p.; 20cm,,
HS01340,FIC 823.92 C695e 2017,Artemis fowl and the eternity code,"Colfer, Eoin",5611,,9780241335611,,Puffin Books,FIC,328p. : ill. ; 20cm.,,
HS01341,FIC B953 2011,Arabian nights,,0100,,9780007420100,New York,HarperCollins Publisher,FIC,415p.; 18cm,,
HS01342,FIC D548 2010,Great experience,"Dickens, Charles",0872,,9780007350872,New York,HarperCollins Publisher,FIC,460p.; 18cm,,
HS01343,FIC D548 2010 c.1,Great experience,"Dickens, Charles",2010,,9780007350872,New York,HarperCollins Publisher,FIC,460p.; 18cm,,
HS01344,FIC N669s 2014,The shadow throne,"Nielsen, Jennifer A.",4189,,9780545284189,New York,"Scholastic, Inc.",FIC,317p.; 20cm,,
HS01345,FIC P211 2009,The jungle book,"Paolini, Christopher",5293,,9780141325293,London,Puffin Books,FIC,217p.: ill.; 18cm,,
HS01346,FIC R5858 2009,The last olympian,"Riordan, Rick",2629,,9780545272629,New York,"Scholastic, Inc.",FIC,381p.; 20cm,,
HS01347,FIC R5858 2006,Sea of monsters,"Riordan, Rick",0076,,9781423160076,New York,Hyperion Books,FIC,279p.; 20cm,,
HS01348,FIC R5858 2005,The lightning thief,"Riordan, Rick",8655,,9780786838655,New York,Hyperion Books,FIC,377p.; 20cm,,
HS01349,FIC R585 2008,The battle of the labyrinth,"riordan, Rick",1499,,9781423101499,New York,Hyperion Books,FIC,361p.; 20cm,,
HS01350,FIC 823.92 C695m 2017,Artemis fowl and the opal deception,"Colfer, Eoin",5628,,9780241335628,,Puffin Books,FIC,343p. : ill. ; 20 cm.,,
HS01351,FIC 823.92 C695i 2017,Artemis fowl and the lost colony,"Colfer, Eoin",5642,,9780241335642,,Puffin Books,FIC,376p. : ill. ; 20 cm.,,
HS01352,FIC 823.92 C695s 2017,Artemis fowl and the time paradox,"Colfer, Eoin",6242,,9780241346242,,Puffin Books,FIC,430p. : ill. ; 20 cm.,,
HS01353,FIC 823.92 C695FIL 2017,Artemiss fowl and the atlantis complex,"Colfer, Eoin",5659,,9780241335659,,Puffin Books,FIC,322p. : ill. ; 20 cm.,,
HS01354,FIC H399s 2004,The Scarlet letter,"Hawthorne, Nathaniel",7566,,9780743487566,New York,Simon & SchusterPaperbacks,FIC,372p.; 18cm,,
HS01355,FIC H399s 2004 c.1,The Scarlet letter,"Hawthorne, Nathaniel",2004,,9780743487566,New York,Simon & SchusterPaperbacks,FIC,372p.; 18cm,,
HS01356,FIC H488 1952,The old man and the sea,"Hemingway, Ernest",9109,,20519109,New York,Macmillan Publishing Company,FIC,127p.; 18cm,,
HS01357,FIC H488 1952 c.1,The old man and the sea,"Hemingway, Ernest",1952,,20519109,New York,Macmillan Publishing Company,FIC,127p.; 18cm,,
HS01358,FIC H399s 2010,The Scarlet letter,"Hawthorne, Nathaniel",0926,,9780007350926,London,Harper Press,FIC,"viii,324p.; 18cm",,
HS01359,FIC H645d 2012,Department 1: the rising,"Hill, Will",6298,,9781595146298,New York,Penguin Group,FIC,576p.; 21cm,,
HS01360,FIC G692 1954,Lord of the flies,"Golding, William",1487,,9780399501487,New York,A Perigee Book,FIC,208p.; 20cm,,
HS01361,FIC W553e 2015,Ethan frone,"Wharton, Edith",0543,,9780008110543,London,William Collins,FIC,142p.; 18cm,,
HS01362,FIC H399s 2004 c.2,The Scarlet letter,"Hawthorne, Nathaniel",2004,,9780743487566,New York,Simon & SchusterPaperbacks,FIC,372p.; 18cm,,
HS01363,FIC H399s 2004 c.3,The Scarlet letter,"Hawthorne, Nathaniel",2004,,9780743487566,New York,Simon & SchusterPaperbacks,FIC,372p.; 18cm,,
